# ps1 function ↔ bootstrap.sh 등가 대조표 (TICKET=mac-parity-t1-core · 2026-09-16 · 계약 master#92224011)
# 칸 = ps1함수<TAB>sh함수<TAB>상태<TAB>사유 · 상태 = sh(등가 실재) | na(OS 상 해당 없음 · 사유 필수)
# ps1 = bootstrap.ps1 @5a1cd67 · 행 순서 = ps1 파일 순서
# ⚠「# todo」 줄 = 아직 이식하지 않은 함수(표에 행이 없으므로 checks 대조 축은 붉다 — 거짓 초록을 만들지 않으려고 상태를 지어내지 않았다)
#   괄호 안 = 맡은 티켓 제안(T1 = 설치 단계 · T2 = 전송·증거·캡처)
Test-Ps32OnWin64	-	na	64bit OS 위 32bit PowerShell(x86) 프로세스 판정 — bash 에는 이 구분이 없다(macOS 는 프로세스 비트수 갈래가 없음). TICKET=installer-0325 c8(2026-09-17 2d6f25b)
Build-Ps32RelaunchArgs	-	na	32bit 프로세스를 64bit PowerShell(sysnative)로 재실행할 인자 조립 — 위와 같은 이유로 sh 대응 없음. TICKET=installer-0325 c8(2026-09-17 2d6f25b)
Write-Log	log	sh	같은 일(기록 파일에 시각+줄 덧붙임)
Say	say	sh	화면+기록 같은 일 · 오류 글 즉시 캡처(ⓕ③) = say_error_text_hook(T2 9abadd2) · 단 윈판의 단계 줄 모음(StepLog)은 맥 say 에 없음
Invoke-Logged	invoke_logged	sh	바깥 명령 출력을 화면(7칸 들여)·기록 양쪽에 · 기록 [무엇] rc=N · 부르는 자리 = [8/10] init-pack·daemon install·(무응답 때) daemon status(ps1 3094·3102·3163 같음)
Get-CysAutoStartState	cys_autostart_state	sh	5값(yes·off·other·no·unknown) 같은 뜻 · 자리 = LaunchAgent com.cysjavis.cysd plist(cys src/launchd.rs) — ①ProgramArguments 가 우리가 깐 cysd 경로 ②RunAtLoad true ③plist Disabled·launchctl print-disabled 가 꺼짐 아님 · 못 읽으면 unknown(윈판 schtasks XML·SID 비교 자리)
Get-AutoStartWords	cys_autostart_words	sh	5값 → 사람 말 한 자리 · 문구는 ps1 동형(작업 스케줄러 cysd → LaunchAgent com.cysjavis.cysd · 로그온 → 로그인) · 부르는 자리 = [8/10] 세 곳 + 보고서 「직접 열어 켰습니다」
Invoke-CysProbe	cys_capped	sh	데몬을 깨우지 않는 조회 — bash 는 `CYS_NO_AUTOSTART=1 명령` 접두 인라인으로 같은 일, 함수로는 cys_capped(상한 포함)
Write-TextNoBom	-	na	PowerShell 5.1 의 UTF-8 BOM 끼워넣기 회피 전용 — bash printf/리다이렉트는 BOM 을 안 붙임
Human	human	sh	같은 일(사람 손 계수 + 한 줄)
